Code,Name,Market,Marcap_억원,Stocks
005930,삼성전자,KOSPI,15609564,5846278608
000660,SK하이닉스,KOSPI,12507927,712702365
005935,삼성전자우,KOSPI,1394521,802371203
402340,SK스퀘어,KOSPI,1335419,131958386
005380,현대차,KOSPI,1201928,204757766
373220,LG에너지솔루션,KOSPI,899730,234000000
009150,삼성전기,KOSPI,711831,74693696
329180,HD현대중공업,KOSPI,658107,104961225
034020,두산에너빌리티,KOSPI,641202,640561146
012450,한화에어로스페이스,KOSPI,628042,51563401
032830,삼성생명,KOSPI,622000,200000000
207940,삼성바이오로직스,KOSPI,613355,46290951
028260,삼성물산,KOSPI,586236,162167581
000270,기아,KOSPI,578202,390412998
105560,KB금융,KOSPI,562258,372850455
012330,현대모비스,KOSPI,481790,90732583
006400,삼성SDI,KOSPI,445638,80585530
055550,신한지주,KOSPI,443802,474654361
068270,셀트리온,KOSPI,396266,222122341
034730,SK,KOSPI,379189,72502703
267260,HD현대일렉트릭,KOSPI,374530,36047135
010120,LS ELECTRIC,KOSPI,348750,150000000
006800,미래에셋증권,KOSPI,341895,559566880
042660,한화오션,KOSPI,331846,306413394
298040,효성중공업,KOSPI,328038,9324548
005490,POSCO홀딩스,KOSPI,326079,79241527
086790,하나금융지주,KOSPI,314151,274367748
035420,NAVER,KOSPI,300256,156873776
066570,LG전자,KOSPI,290260,162884638
009540,HD한국조선해양,KOSPI,279200,70773116
010130,고려아연,KOSPI,275106,20872969
042700,한미반도체,KOSPI,271640,95312200
010140,삼성중공업,KOSPI,241120,880000000
000810,삼성화재,KOSPI,239757,44647473
015760,한국전력,KOSPI,233996,641964077
000150,두산,KOSPI,232382,16193835
051910,LG화학,KOSPI,231543,70592343
316140,우리금융지주,KOSPI,221324,734076320
017670,SK텔레콤,KOSPI,210279,214790053
064350,현대로템,KOSPI,205515,109142293
267250,HD현대,KOSPI,201037,78993085
096770,SK이노베이션,KOSPI,194918,169052788
272210,한화시스템,KOSPI,190809,188919389
003670,포스코퓨처엠,KOSPI,189455,88946220
196170,알테오젠,KOSDAQ GLOBAL,187016,53586343
011200,HMM,KOSPI,184780,943237970
033780,KT&G,KOSPI,184160,103810456
138040,메리츠금융지주,KOSPI,182743,167347273
079550,LIG디펜스앤에어로스페이스,KOSPI,180620,22000000
035720,카카오,KOSPI,177780,441690614
247540,에코프로비엠,KOSDAQ GLOBAL,172475,97830434
011070,LG이노텍,KOSPI,172060,23667107
024110,기업은행,KOSPI,161877,797425869
086520,에코프로,KOSDAQ GLOBAL,159401,135776152
003550,LG,KOSPI,158386,154221585
086280,현대글로비스,KOSPI,156750,75000000
047810,한국항공우주,KOSPI,151964,97475107
006260,LS,KOSPI,151476,31200000
307950,현대오토에버,KOSPI,150832,27423982
000720,현대건설,KOSPI,148215,111355765
278470,에이피알,KOSPI,143763,37438155
030200,KT,KOSPI,141384,252021685
071050,한국금융지주,KOSPI,127613,55725992
018260,삼성에스디에스,KOSPI,125507,77377800
010950,S-Oil,KOSPI,124291,112582792
259960,크래프톤,KOSPI,122020,46132393
277810,레인보우로보틱스,KOSDAQ,120667,19399858
047050,포스코인터내셔널,KOSPI,118748,175922788
0126Z0,삼성에피스홀딩스,KOSPI,115457,24883049
047040,대우건설,KOSPI,108069,410907638
005940,NH투자증권,KOSPI,107438,356344369
323410,카카오뱅크,KOSPI,104966,477120437
003230,삼양식품,KOSPI,102072,7533015
005830,DB손해보험,KOSPI,101198,65500349
016360,삼성증권,KOSPI,99570,89300000
001440,대한전선,KOSPI,99564,195992596
443060,HD현대마린솔루션,KOSPI,97737,44833460
352820,하이브,KOSPI,96334,43102249
039490,키움증권,KOSPI,94422,26228316
003490,대한항공,KOSPI,91687,368220661
028050,삼성E&A,KOSPI,91238,196000000
036930,주성엔지니어링,KOSDAQ GLOBAL,89941,46481121
007660,이수페타시스,KOSPI,88385,73409219
005387,현대차2우B,KOSPI,86011,34963930
000880,한화,KOSPI,84821,70507919
950160,코오롱티슈진,KOSDAQ,84736,84736050
000250,삼천당제약,KOSDAQ,78934,23457472
058470,리노공업,KOSDAQ GLOBAL,73316,76211850
180640,한진칼,KOSPI,72838,66762279
161390,한국타이어앤테크놀로지,KOSPI,72715,123875069
267270,HD건설기계,KOSPI,72218,47921897
062040,산일전기,KOSPI,71488,30615850
326030,SK바이오팜,KOSPI,70952,78313250
064400,LG씨엔에스,KOSPI,68208,96885948
078930,GS,KOSPI,67921,92915378
090430,아모레퍼시픽,KOSPI,67910,58492759
009830,한화솔루션,KOSPI,67726,171892536
000990,DB하이텍,KOSPI,66823,43504588
032640,LG유플러스,KOSPI,66623,429828355
000100,유한양행,KOSPI,64515,79647601
353200,대덕전자,KOSPI,63451,49416925
021240,코웨이,KOSPI,62771,70767426
028300,HLB,KOSDAQ,62463,133183277
034220,LG디스플레이,KOSPI,61750,500000000
377300,카카오페이,KOSPI,61068,135256275
241560,두산밥캣,KOSPI,61060,95856065
454910,두산로보틱스,KOSPI,60477,64819980
000500,가온전선,KOSPI,59390,16543115
066970,엘앤에프,KOSPI,59146,40455487
298380,에이비엘바이오,KOSDAQ,58619,55987463
005385,현대차우,KOSPI,57652,23340960
036570,NC,KOSPI,56661,21544022
029780,삼성카드,KOSPI,56076,115858891
440110,파두,KOSDAQ,56008,50096827
087010,펩트론,KOSDAQ,55845,23317350
039030,이오테크닉스,KOSDAQ GLOBAL,55623,12319550
240810,원익IPS,KOSDAQ GLOBAL,54630,49083901
082740,한화엔진,KOSPI,54491,83447142
128940,한미약품,KOSPI,53038,12810991
271560,오리온,KOSPI,52978,39536132
088980,맥쿼리인프라,KOSPI,52777,478921993
138930,BNK금융지주,KOSPI,52042,310327033
052690,한전기술,KOSPI,51368,38220000
141080,리가켐바이오,KOSDAQ GLOBAL,51124,37019418
010060,OCI홀딩스,KOSPI,50970,18670232
336260,두산퓨얼셀,KOSPI,49186,65493726
214370,케어젠,KOSDAQ,49096,53715000
001040,CJ,KOSPI,48580,29176998
004020,현대제철,KOSPI,47707,133445785
175330,JB금융지주,KOSPI,47440,188253584
004170,신세계,KOSPI,46659,9445181
103590,일진전기,KOSPI,46303,47685390
011790,SKC,KOSPI,45821,37868298
088350,한화생명,KOSPI,45685,868530000
310210,보로노이,KOSDAQ,44441,18402171
018880,한온시스템,KOSPI,44129,1026262552
022100,포스코DX,KOSPI,44014,152034729
023530,롯데쇼핑,KOSPI,43140,28288755
450080,에코프로머티,KOSPI,41363,70705607
002380,KCC,KOSPI,40816,8592896
095340,ISC,KOSDAQ GLOBAL,40783,21197058
178320,서진시스템,KOSDAQ,39609,63577747
403870,HPSP,KOSDAQ GLOBAL,39257,82300000
051900,LG생활건강,KOSPI,37999,15291262
012510,더존비즈온,KOSPI,37805,31477993
222800,심텍,KOSDAQ GLOBAL,37801,37463931
111770,영원무역,KOSPI,37355,44311468
108490,로보티즈,KOSDAQ,36423,14657028
010170,대한광통신,KOSDAQ,35373,155485660
319400,현대무벡스,KOSDAQ,34972,111376039
251270,넷마블,KOSPI,34494,81934571
036460,한국가스공사,KOSPI,33833,92313000
011170,롯데케미칼,KOSPI,33450,42775419
035250,강원랜드,KOSPI,32990,213940500
011780,금호석유화학,KOSPI,32981,25157325
489790,한화비전,KOSPI,32817,50488390
031210,서울보증보험,KOSPI,32432,69821598
080220,제주반도체,KOSDAQ,32342,34442833
097950,CJ제일제당,KOSPI,32141,15054186
004800,효성,KOSPI,32024,16740407
131970,두산테스나,KOSDAQ GLOBAL,31909,19327238
302440,SK바이오사이언스,KOSPI,31500,78456553
017800,현대엘리베이터,KOSPI,31274,39092385
067310,하나마이크론,KOSDAQ,31271,66464226
001450,현대해상,KOSPI,31073,85248250
028670,팬오션,KOSPI,31058,534569512
319660,피에스케이,KOSDAQ GLOBAL,30965,28966714
064760,티씨케이,KOSDAQ GLOBAL,30911,11179416
014680,한솔케미칼,KOSPI,30472,11370195
214150,클래시스,KOSDAQ GLOBAL,30465,65235659
145020,휴젤,KOSDAQ GLOBAL,30391,12304033
357780,솔브레인,KOSDAQ GLOBAL,29947,7778566
214450,파마리서치,KOSDAQ GLOBAL,29766,10389648
226950,올릭스,KOSDAQ,29598,20300583
383220,F&F,KOSPI,29458,38307075
263750,펄어비스,KOSDAQ GLOBAL,29040,64247855
139130,iM금융지주,KOSPI,28752,160624583
375500,DL이앤씨,KOSPI,28440,38693623
001720,신영증권,KOSPI,28030,16440000
100790,미래에셋벤처투자,KOSDAQ,27997,53124634
020150,롯데에너지머티리얼즈,KOSPI,27911,52365463
084370,유진테크,KOSDAQ,27705,22916042
